Museo,FWC0,Panini,false,0
Museo,FWC1,Balon,false,0
Museo,FWC2,Copa Parte 1,false,0
Museo,FWC3,Copa Parte 2,false,0
Argentina,ARG1,Escudo,false,0
Argentina,ARG2,Selección,false,0
Argentina,ARG3,Emiliano Martinez,false,0
Argentina,ARG4,Lionel Messi,false,0
Argentina,ARG5,Rodrigo De Paul,false,0
Brasil,BRA1,Escudo,false,0
Brasil,BRA2,Selección,false,0
Brasil,BRA3,Alisson Becker,false,0
Brasil,BRA4,Neymar Jr,false,0
Brasil,BRA5,Antony,false,0
Museo,FWC4,Argentina 1978,false,0
Museo,FWC5,Brasil 1994,false,0
